Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price
04/01/2016,17,APXMIDP ,750.7,33.09
04/01/2016,17,N2EXMIDP,0,0
04/01/2016,18,APXMIDP ,585.8,32.43
04/01/2016,18,N2EXMIDP,0,0
04/01/2016,19,APXMIDP ,471.5,34.19
04/01/2016,19,N2EXMIDP,0,0
04/01/2016,20,APXMIDP ,485.15,32.39
04/01/2016,20,N2EXMIDP,0,0
04/01/2016,21,APXMIDP ,708.95,31.18
04/01/2016,21,N2EXMIDP,0,0
04/01/2016,22,APXMIDP ,785.75,31.78
04/01/2016,22,N2EXMIDP,0,0
04/01/2016,23,APXMIDP ,789,33.41
04/01/2016,23,N2EXMIDP,0,0
04/01/2016,24,APXMIDP ,847.45,33.6
04/01/2016,24,N2EXMIDP,0,0
04/01/2016,25,APXMIDP ,849.95,33.53
04/01/2016,25,N2EXMIDP,0,0
04/01/2016,26,APXMIDP ,817.85,33.03
04/01/2016,26,N2EXMIDP,0,0
04/01/2016,27,APXMIDP ,847.6,33.23
04/01/2016,27,N2EXMIDP,0,0
04/01/2016,28,APXMIDP ,983.25,32.64
04/01/2016,28,N2EXMIDP,0,0
04/01/2016,29,APXMIDP ,987.6,32.92
04/01/2016,29,N2EXMIDP,0,0
04/01/2016,30,APXMIDP ,1060.95,32.59
04/01/2016,30,N2EXMIDP,0,0
04/01/2016,31,APXMIDP ,1575.35,39.33
04/01/2016,31,N2EXMIDP,0,0
04/01/2016,32,APXMIDP ,1464.4,39.86
04/01/2016,32,N2EXMIDP,0,0
04/01/2016,33,APXMIDP ,1517.4,40
04/01/2016,33,N2EXMIDP,0,0
04/01/2016,34,APXMIDP ,1567.95,43.11
04/01/2016,34,N2EXMIDP,0,0
04/01/2016,35,APXMIDP ,1343.25,45.98
04/01/2016,35,N2EXMIDP,0,0
04/01/2016,36,APXMIDP ,1595.6,43.25
04/01/2016,36,N2EXMIDP,0,0
04/01/2016,37,APXMIDP ,1547.15,42.68
04/01/2016,37,N2EXMIDP,0,0
04/01/2016,38,APXMIDP ,1870.3,41.17
04/01/2016,38,N2EXMIDP,0,0
04/01/2016,39,APXMIDP ,1577.75,35.39
04/01/2016,39,N2EXMIDP,0,0
04/01/2016,40,APXMIDP ,1412.8,35.95
04/01/2016,40,N2EXMIDP,0,0
04/01/2016,41,APXMIDP ,1146.4,35.81
04/01/2016,41,N2EXMIDP,0,0
04/01/2016,42,APXMIDP ,1360.8,36.36
04/01/2016,42,N2EXMIDP,0,0
04/01/2016,43,APXMIDP ,1111.1,33.32
04/01/2016,43,N2EXMIDP,0,0
04/01/2016,44,APXMIDP ,1043.05,31.76
04/01/2016,44,N2EXMIDP,0,0
04/01/2016,45,APXMIDP ,1273.95,31.15
04/01/2016,45,N2EXMIDP,0,0
